Upper and lower bounds for the problem
Iteration 0; Item picked: Cube_00; Base position: -960.3630156021272 mm; Feasibility: NO! 
Iteration: 1;  Base position: -247.99556542462778 mm; Feasibility: YES!; Manipulability: 0.15764 
Iteration 2; Item picked: Cube_02; Base position: -448.93731404086066 mm; Feasibility: NO! 
Iteration: 3;  Base position: -406.30351419268277 mm; Feasibility: YES!; Manipulability: 0.18259 
Iteration 4; Item picked: Cube_02; Base position: 1137.245160516954 mm; Feasibility: NO! 
Iteration 5; Item picked: Cube_02; Base position: 436.20474144145214 mm; Feasibility: NO! 
Iteration 6; Item picked: Cube_01; Base position: 1455.7318739579173 mm; Feasibility: NO! 
Iteration 7; Item picked: Cube_01; Base position: 1414.8377257652487 mm; Feasibility: NO! 
Iteration: 8;  Base position: -26.92554833305121 mm; Feasibility: YES!; Manipulability: 0.2298 
Iteration 9; Item picked: Cube_02; Base position: -1216.9407651787756 mm; Feasibility: NO! 
Iteration 10; Item picked: Cube_01; Base position: -868.3889108832631 mm; Feasibility: NO! 
Iteration: 11;  Base position: 192.47528630776037 mm; Feasibility: YES!; Manipulability: 0.21511 
Iteration 12; Item picked: Cube_00; Base position: 557.3022408980187 mm; Feasibility: NO! 
Iteration 13; Item picked: Cube_01; Base position: -795.2833813850931 mm; Feasibility: NO! 
Iteration 14; Item picked: Cube_01; Base position: -951.9323827448404 mm; Feasibility: NO! 
Iteration: 15;  Base position: 235.45156820541547 mm; Feasibility: YES!; Manipulability: 0.16708 
Iteration: 16;  Base position: 356.95841941062463 mm; Feasibility: YES!; Manipulability: 0.18141 
Iteration: 17;  Base position: -7.378217108244598 mm; Feasibility: YES!; Manipulability: 0.17185 
Iteration 18; Item picked: Cube_01; Base position: 1318.9317790617179 mm; Feasibility: NO! 
Iteration: 19;  Base position: 326.31985365779224 mm; Feasibility: YES!; Manipulability: 0.17177 
Iteration 20; Item picked: Cube_00; Base position: 1485.9096645213526 mm; Feasibility: NO! 
Iteration 21; Item picked: Cube_02; Base position: -1449.5781725780596 mm; Feasibility: NO! 
Iteration 22; Item picked: Cube_01; Base position: -753.0532236977431 mm; Feasibility: NO! 
Iteration 23; Item picked: Cube_02; Base position: 1344.121465328874 mm; Feasibility: NO! 
Iteration: 24;  Base position: 366.4401734350565 mm; Feasibility: YES!; Manipulability: 0.1514 
Iteration 25; Item picked: Cube_01; Base position: -1452.3795892237347 mm; Feasibility: NO! 
Iteration 26; Item picked: Cube_01; Base position: -857.9963690020112 mm; Feasibility: NO! 
Iteration 27; Item picked: Cube_02; Base position: -726.9432023181571 mm; Feasibility: NO! 
Iteration 28; Item picked: Cube_02; Base position: -1000.7217162108309 mm; Feasibility: NO! 
Iteration: 29;  Base position: 48.184437989535354 mm; Feasibility: YES!; Manipulability: 0.19997 
Iteration: 30;  Base position: -131.07295825206643 mm; Feasibility: YES!; Manipulability: 0.21271 
Iteration 31; Item picked: Cube_02; Base position: -647.8519473151341 mm; Feasibility: NO! 
Iteration: 32;  Base position: -421.40200784194894 mm; Feasibility: YES!; Manipulability: 0.1823 
Iteration: 33;  Base position: -71.33849492998343 mm; Feasibility: YES!; Manipulability: 0.17903 
Iteration: 34;  Base position: 218.24887756771682 mm; Feasibility: YES!; Manipulability: 0.16792 
Iteration: 35;  Base position: -153.54542578290625 mm; Feasibility: YES!; Manipulability: 0.19093 
Iteration 36; Item picked: Cube_00; Base position: -1303.5179549973836 mm; Feasibility: NO! 
Iteration 37; Item picked: Cube_02; Base position: 587.951226818036 mm; Feasibility: NO! 
Iteration 38; Item picked: Cube_01; Base position: -771.7983808042554 mm; Feasibility: NO! 
Iteration: 39;  Base position: -4.2871319380408295 mm; Feasibility: YES!; Manipulability: 0.21508 
Iteration: 40;  Base position: 406.0037505711616 mm; Feasibility: YES!; Manipulability: 0.16639 
Iteration 41; Item picked: Cube_02; Base position: 1349.0703077311432 mm; Feasibility: NO! 
Iteration 42; Item picked: Cube_02; Base position: -1452.5160149914711 mm; Feasibility: NO! 
Iteration 43; Item picked: Cube_00; Base position: -1063.9541985826081 mm; Feasibility: NO! 
Iteration 44; Item picked: Cube_01; Base position: -830.8485049236174 mm; Feasibility: NO! 
Iteration 45; Item picked: Cube_00; Base position: -1448.1327349498438 mm; Feasibility: NO! 
