Upper and lower bounds for the problem
Iteration: 0;  Base position: 265.3319400773048 mm; Feasibility: YES!; Manipulability: 0.1295 
Iteration 1; Item picked: Cube_10; Base position: -845.1216102620353 mm; Feasibility: NO! 
Iteration 2; Item picked: Cube_11; Base position: -949.5009014159239 mm; Feasibility: NO! 
Iteration 3; Item picked: Cube_12; Base position: 1415.8685640788049 mm; Feasibility: NO! 
Iteration: 4;  Base position: 602.7634170786937 mm; Feasibility: YES!; Manipulability: 0.11202 
Iteration 5; Item picked: Cube_11; Base position: -1244.5415619158255 mm; Feasibility: NO! 
Iteration: 6;  Base position: 752.9513836656606 mm; Feasibility: YES!; Manipulability: 0.10742 
Iteration 7; Item picked: Cube_11; Base position: -1005.4593908859476 mm; Feasibility: NO! 
Iteration 8; Item picked: Cube_11; Base position: -782.9050414785889 mm; Feasibility: NO! 
Iteration 9; Item picked: Cube_11; Base position: -837.1156734451764 mm; Feasibility: NO! 
Iteration 10; Item picked: Cube_11; Base position: -1245.854530942739 mm; Feasibility: NO! 
Iteration 11; Item picked: Cube_10; Base position: 956.4389770387615 mm; Feasibility: NO! 
Iteration 12; Item picked: Cube_11; Base position: -755.8635812566104 mm; Feasibility: NO! 
Iteration: 13;  Base position: 289.63332319151414 mm; Feasibility: YES!; Manipulability: 0.13591 
Iteration 14; Item picked: Cube_12; Base position: -1419.67801421307 mm; Feasibility: NO! 
Iteration: 15;  Base position: -245.81758546853553 mm; Feasibility: YES!; Manipulability: 0.17104 
Iteration 16; Item picked: Cube_12; Base position: -603.4329832352352 mm; Feasibility: NO! 
Iteration: 17;  Base position: 308.81639096719823 mm; Feasibility: YES!; Manipulability: 0.14768 
Iteration 18; Item picked: Cube_12; Base position: -1380.4856135358946 mm; Feasibility: NO! 
Iteration: 19;  Base position: 371.06816912773934 mm; Feasibility: YES!; Manipulability: 0.13125 
Iteration 20; Item picked: Cube_10; Base position: 1159.7289241663534 mm; Feasibility: NO! 
Iteration: 21;  Base position: 142.84997804546333 mm; Feasibility: YES!; Manipulability: 0.14144 
Iteration: 22;  Base position: 1053.6239880574149 mm; Feasibility: YES!; Manipulability: 0.0639 
Iteration: 23;  Base position: 619.0698074115558 mm; Feasibility: YES!; Manipulability: 0.14704 
Iteration 24; Item picked: Cube_11; Base position: -1382.8560887078909 mm; Feasibility: NO! 
Iteration: 25;  Base position: 44.47955829760053 mm; Feasibility: YES!; Manipulability: 0.13044 
Iteration 26; Item picked: Cube_11; Base position: -860.232330874119 mm; Feasibility: NO! 
Iteration 27; Item picked: Cube_12; Base position: -1254.6128139390678 mm; Feasibility: NO! 
Iteration 28; Item picked: Cube_11; Base position: -844.923837274701 mm; Feasibility: NO! 
Iteration 29; Item picked: Cube_10; Base position: 1075.0664650963822 mm; Feasibility: NO! 
Iteration: 30;  Base position: 18.208139845656206 mm; Feasibility: YES!; Manipulability: 0.17613 
Iteration: 31;  Base position: 606.6619914640187 mm; Feasibility: YES!; Manipulability: 0.11391 
Iteration 32; Item picked: Cube_11; Base position: -1219.4818435746333 mm; Feasibility: NO! 
Iteration: 33;  Base position: 323.8625002839242 mm; Feasibility: YES!; Manipulability: 0.13458 
Iteration: 34;  Base position: 990.311696546099 mm; Feasibility: YES!; Manipulability: 0.09471 
Iteration: 35;  Base position: -35.2759602378228 mm; Feasibility: YES!; Manipulability: 0.15845 
Iteration 36; Item picked: Cube_11; Base position: -1062.6364768853596 mm; Feasibility: NO! 
Iteration 37; Item picked: Cube_12; Base position: -1050.7565002689846 mm; Feasibility: NO! 
Iteration: 38;  Base position: -323.21908048740374 mm; Feasibility: YES!; Manipulability: 0.15645 
Iteration: 39;  Base position: -150.93229747202622 mm; Feasibility: YES!; Manipulability: 0.16584 
Iteration 40; Item picked: Cube_12; Base position: -1173.8341902498303 mm; Feasibility: NO! 
Iteration: 41;  Base position: 663.7205716142366 mm; Feasibility: YES!; Manipulability: 0.14431 
Iteration 42; Item picked: Cube_11; Base position: -481.7224672769221 mm; Feasibility: NO! 
Iteration: 43;  Base position: 605.80659462001 mm; Feasibility: YES!; Manipulability: 0.12665 
Iteration 44; Item picked: Cube_12; Base position: 1134.8822612430931 mm; Feasibility: NO! 
Iteration: 45;  Base position: 478.67656894498396 mm; Feasibility: YES!; Manipulability: 0.14434 
Iteration 46; Item picked: Cube_12; Base position: 1252.679716866795 mm; Feasibility: NO! 
Iteration 47; Item picked: Cube_12; Base position: 1408.6837541243676 mm; Feasibility: NO! 
Iteration 48; Item picked: Cube_12; Base position: 1129.126149698262 mm; Feasibility: NO! 
Iteration 49; Item picked: Cube_12; Base position: -1423.4986845198953 mm; Feasibility: NO! 
Iteration: 50;  Base position: -248.43671090567568 mm; Feasibility: YES!; Manipulability: 0.16791 
Iteration 51; Item picked: Cube_12; Base position: -1251.768575845905 mm; Feasibility: NO! 
Iteration: 52;  Base position: 957.9817085005166 mm; Feasibility: YES!; Manipulability: 0.07584 
Iteration 53; Item picked: Cube_12; Base position: -745.683234624015 mm; Feasibility: NO! 
Iteration 54; Item picked: Cube_12; Base position: -743.236947705845 mm; Feasibility: NO! 
Iteration: 55;  Base position: -434.1909579138194 mm; Feasibility: YES!; Manipulability: 0.12925 
Iteration 56; Item picked: Cube_10; Base position: -782.829491339605 mm; Feasibility: NO! 
Iteration: 57;  Base position: -246.49050399147336 mm; Feasibility: YES!; Manipulability: 0.15622 
Iteration 58; Item picked: Cube_10; Base position: -937.8659095864522 mm; Feasibility: NO! 
Iteration 59; Item picked: Cube_10; Base position: 1184.3402491314664 mm; Feasibility: NO! 
Iteration: 60;  Base position: 143.52220257759927 mm; Feasibility: YES!; Manipulability: 0.16472 
Iteration 61; Item picked: Cube_12; Base position: -1187.0174678120802 mm; Feasibility: NO! 
Iteration 62; Item picked: Cube_12; Base position: -695.5844846284781 mm; Feasibility: NO! 
Iteration: 63;  Base position: 840.3735562421584 mm; Feasibility: YES!; Manipulability: 0.09543 
Iteration 64; Item picked: Cube_12; Base position: -1107.2110543532374 mm; Feasibility: NO! 
Iteration 65; Item picked: Cube_10; Base position: 1143.4183259345045 mm; Feasibility: NO! 
Iteration 66; Item picked: Cube_11; Base position: -978.5674630963774 mm; Feasibility: NO! 
Iteration 67; Item picked: Cube_11; Base position: -664.9350527547092 mm; Feasibility: NO! 
Iteration: 68;  Base position: 949.2925136243334 mm; Feasibility: YES!; Manipulability: 0.07085 
Iteration: 69;  Base position: -125.24471866417252 mm; Feasibility: YES!; Manipulability: 0.14718 
Iteration 70; Item picked: Cube_10; Base position: 1092.4022911891175 mm; Feasibility: NO! 
Iteration 71; Item picked: Cube_12; Base position: -776.6870373236501 mm; Feasibility: NO! 
Iteration: 72;  Base position: -300.13768807863175 mm; Feasibility: YES!; Manipulability: 0.16619 
Iteration: 73;  Base position: 791.2490900964244 mm; Feasibility: YES!; Manipulability: 0.1168 
Iteration: 74;  Base position: 561.6696996990399 mm; Feasibility: YES!; Manipulability: 0.12755 
Iteration: 75;  Base position: -190.0043521496441 mm; Feasibility: YES!; Manipulability: 0.17637 
Iteration: 76;  Base position: -440.5054368735905 mm; Feasibility: YES!; Manipulability: 0.12239 
Iteration 77; Item picked: Cube_12; Base position: -1318.1694130024473 mm; Feasibility: NO! 
Iteration 78; Item picked: Cube_12; Base position: 1472.2237457656997 mm; Feasibility: NO! 
Iteration 79; Item picked: Cube_10; Base position: -605.6525650986678 mm; Feasibility: NO! 
Iteration 80; Item picked: Cube_10; Base position: -983.9642779071138 mm; Feasibility: NO! 
Iteration: 81;  Base position: 472.08423703865174 mm; Feasibility: YES!; Manipulability: 0.12688 
Iteration: 82;  Base position: -36.54460551500961 mm; Feasibility: YES!; Manipulability: 0.1788 
Iteration 83; Item picked: Cube_11; Base position: 1400.1001487062322 mm; Feasibility: NO! 
Iteration 84; Item picked: Cube_12; Base position: -494.42336371426507 mm; Feasibility: NO! 
Iteration 85; Item picked: Cube_10; Base position: 1196.0137901493295 mm; Feasibility: NO! 
Iteration: 86;  Base position: 230.76400913480416 mm; Feasibility: YES!; Manipulability: 0.13979 
Iteration 87; Item picked: Cube_11; Base position: -730.6668104378692 mm; Feasibility: NO! 
Iteration 88; Item picked: Cube_11; Base position: -1226.884053828692 mm; Feasibility: NO! 
Iteration 89; Item picked: Cube_10; Base position: 1202.2530286872457 mm; Feasibility: NO! 
Iteration 90; Item picked: Cube_11; Base position: -727.0694651687147 mm; Feasibility: NO! 
Iteration 91; Item picked: Cube_11; Base position: 1019.1775252290909 mm; Feasibility: NO! 
